iter	MultiClass
0	0.9360915547
1	0.8177443769
2	0.6974972512
3	0.6126944989
4	0.5542791261
5	0.4902053754
6	0.4236509905
7	0.3884010835
8	0.3513377712
9	0.3281492015
10	0.3041341821
11	0.2687980792
12	0.2431204607
13	0.2280467528
14	0.2041899138
15	0.1951159177
16	0.1844694346
17	0.1755717898
18	0.1679133156
19	0.158989574
20	0.1516161408
21	0.1458357488
22	0.1374300582
23	0.1322683309
24	0.124081716
25	0.1187418536
26	0.1069930018
27	0.1011754606
28	0.09807669179
29	0.09441213141
30	0.0913969778
31	0.0877902542
32	0.08538327698
33	0.0823020195
34	0.07804624564
35	0.07577549959
36	0.07321169491
37	0.07167567987
38	0.06979891267
39	0.06733469492
40	0.06578409528
41	0.06447664014
42	0.06178917677
43	0.06087318491
44	0.05958473167
45	0.057532667
46	0.05578056081
47	0.0538507212
48	0.05263585147
49	0.05094351886
50	0.0495047133
51	0.04778098118
52	0.04651512024
53	0.04583295622
54	0.04518408681
55	0.04452489257
56	0.04378329484
57	0.04311217385
58	0.04222463606
59	0.04124742099
60	0.04063493832
61	0.04006610081
62	0.03936035986
63	0.03857270573
64	0.03775405257
65	0.03719904753
66	0.03656753074
67	0.03613696753
68	0.03541772203
69	0.0348576847
70	0.03419683372
71	0.03380457831
72	0.03340318317
73	0.03251324847
74	0.03206455897
75	0.03146928951
76	0.03069139066
77	0.0302507546
78	0.02990516694
79	0.02956178296
80	0.02923263181
81	0.02867744606
82	0.02813892305
83	0.02777042443
84	0.02747797227
85	0.02710741997
86	0.02677495776
87	0.0264245222
88	0.02593141442
89	0.02534408716
90	0.02489538672
91	0.02397549232
92	0.0236790965
93	0.02340660144
94	0.02322766697
95	0.02303358399
96	0.02287173896
97	0.02267330518
98	0.02241667601
99	0.02208952718
100	0.02181494632
101	0.02160744598
102	0.02142676287
103	0.02109793092
104	0.0208457491
105	0.02070891846
106	0.02051344765
107	0.02023870061
108	0.01991991724
109	0.01972579599
110	0.01953419653
111	0.0193433348
112	0.01911455317
113	0.01897339287
114	0.01882333248
115	0.018644799
116	0.01837823108
117	0.01810998054
118	0.01797267965
119	0.01778435573
120	0.01769238805
121	0.01755793438
122	0.0174224054
123	0.01730295153
124	0.01720985571
125	0.01698315324
126	0.01684667321
127	0.01675418644
128	0.01659931344
129	0.01642585659
130	0.01625217028
131	0.0161473345
132	0.01602073971
133	0.0159023847
134	0.01577831543
135	0.01566732093
136	0.01551487028
137	0.01544011641
138	0.01534849037
139	0.01526602195
140	0.01519321509
141	0.01508741273
142	0.01499731092
143	0.01487028973
144	0.01479449075
145	0.01471078686
146	0.01464444857
147	0.01453283417
148	0.01442770786
149	0.01436675262
150	0.01424477296
151	0.01417593326
152	0.01405689883
153	0.01393458269
154	0.013857796
155	0.01378356177
156	0.01368891798
157	0.01357321374
158	0.01349724268
159	0.01344337726
160	0.01337518524
161	0.01331209045
162	0.01323355805
163	0.01318239402
164	0.01313030102
165	0.01303808247
166	0.01297526197
167	0.01290243978
168	0.01280450822
169	0.01269267333
170	0.01259379155
171	0.01251256027
172	0.01245465847
173	0.01239354707
174	0.01228745729
175	0.0122459884
176	0.01218421154
177	0.01208431024
178	0.01202853735
179	0.01195719173
180	0.01188042429
181	0.01183506555
182	0.01175816797
183	0.01170915897
184	0.01165257048
185	0.01155806696
186	0.01150231729
187	0.0114209692
188	0.01137256046
189	0.01126402879
190	0.01120179382
191	0.01115374175
192	0.01106168012
193	0.01101778246
194	0.01091982145
195	0.01084105731
196	0.01078349236
197	0.01070730304
198	0.01065187513
199	0.01061775261
200	0.01057500071
201	0.010538488
202	0.01048278369
203	0.01044506401
204	0.0103553284
205	0.01028642377
206	0.01024058571
207	0.01016424523
208	0.01011549996
209	0.01007033901
210	0.01003346533
211	0.01000145034
212	0.009964712559
213	0.009913907443
214	0.009862346226
215	0.009827046358
216	0.009781407044
217	0.009754287708
218	0.009685879348
219	0.009609108731
220	0.009538326127
221	0.009501609477
222	0.009449285358
223	0.00941806604
224	0.009371501686
225	0.009319879096
226	0.009284159907
227	0.009243314215
228	0.009174850218
229	0.009132561869
230	0.009099809835
231	0.009064086388
232	0.009022693976
233	0.008964275595
234	0.008921976673
235	0.008895870484
236	0.008863294732
237	0.008817974766
238	0.008772153665
239	0.008739148871
240	0.008705550833
241	0.008678560149
242	0.008647645539
243	0.00858839067
244	0.008559507403
245	0.0085225934
246	0.008491005281
247	0.008454482315
248	0.008417704251
249	0.008380305496
250	0.008336147898
251	0.008300450514
252	0.008261955932
253	0.008186779621
254	0.008158477236
255	0.008131322633
256	0.008086787686
257	0.008053301885
258	0.008020435735
259	0.007989487209
260	0.007964597454
261	0.007937949536
262	0.007901621801
263	0.007875635714
264	0.007852856356
265	0.007824800886
266	0.007790746625
267	0.007760503087
268	0.007737302707
269	0.007688561434
270	0.007651806942
271	0.007622947335
272	0.007600437879
273	0.007579377724
274	0.007553624751
275	0.007528875981
276	0.007490637288
277	0.007458321313
278	0.007434342983
279	0.00741515112
280	0.007383770343
281	0.00736147995
282	0.007337916179
283	0.007319313123
284	0.007297618137
285	0.007279885482
286	0.007248981512
287	0.007227784927
288	0.007207962563
289	0.007177241583
290	0.007157426677
291	0.007132689449
292	0.007109695393
293	0.007067870381
294	0.007047669647
295	0.007022005096
296	0.006976451437
297	0.006961965602
298	0.006937520964
299	0.006913574438
300	0.006896681683
301	0.006874863466
302	0.006834316627
303	0.00681290191
304	0.006789947751
305	0.006768810159
306	0.006741493423
307	0.006721940692
308	0.006684320106
309	0.006659867118
310	0.006628426879
311	0.00661135126
312	0.006588682086
313	0.00656839286
314	0.006552693016
315	0.006528402818
316	0.006513315576
317	0.006491217769
318	0.006475795216
319	0.006458716632
320	0.006444260286
321	0.006420514715
322	0.006399519596
323	0.006382238743
324	0.006363898693
325	0.006345993031
