iter	Logloss
0	0.6610117843
1	0.630674389
2	0.6025022164
3	0.576387352
4	0.5501642031
5	0.5287395076
6	0.5080953334
7	0.4900125648
8	0.4704168205
9	0.4539612455
10	0.4364396467
11	0.4202891012
12	0.4055081775
13	0.3921910364
14	0.3802950056
15	0.3695045817
16	0.3577696731
17	0.3484426743
18	0.3385981143
19	0.3291104616
20	0.3222320572
21	0.3143998363
22	0.3066222796
23	0.299392154
24	0.2937671742
25	0.2886268708
26	0.2832615604
27	0.2779199093
28	0.2740445934
29	0.2698645888
30	0.2654082887
31	0.2612448548
32	0.2577190065
33	0.2543043469
34	0.2507652018
35	0.2475994503
36	0.2445917723
37	0.241873408
38	0.2392618659
39	0.2362389054
40	0.2333865528
41	0.2308915165
42	0.2285701456
43	0.2262271707
44	0.2242098187
45	0.2220856926
46	0.2202744155
47	0.2186879333
48	0.2168929794
49	0.2151368355
50	0.2137867047
51	0.2123302941
52	0.2110772873
53	0.2095906737
54	0.2086889223
55	0.2074117311
56	0.2062904969
57	0.2056260731
58	0.2046260775
59	0.2036549294
60	0.2026248297
61	0.2017493579
62	0.2011541719
63	0.2004492851
64	0.1996858109
65	0.1990190329
66	0.1983791514
67	0.1978717686
68	0.197138135
69	0.1962103905
70	0.1956081492
71	0.195284169
72	0.1948408348
73	0.1943017997
74	0.1939972125
75	0.1933165048
76	0.1928121988
77	0.192304491
78	0.1919446705
79	0.1913749796
80	0.1909803794
81	0.1905251993
82	0.1900542874
83	0.1896482323
84	0.1892750318
85	0.1888386604
86	0.1885282178
87	0.1882634423
88	0.188015115
89	0.1878017313
90	0.1877066554
91	0.1874624881
92	0.1872274288
93	0.186924523
94	0.1865617985
95	0.1862337662
96	0.1860448445
97	0.1858092655
98	0.1853919535
99	0.1850845142
100	0.1848334592
101	0.1846052888
102	0.1844098712
103	0.184179421
104	0.1839267465
105	0.1836982846
106	0.1835266438
107	0.1832788791
108	0.1831257164
109	0.182859218
110	0.1826620131
111	0.1824542957
112	0.1822286224
113	0.182000372
114	0.1819302944
115	0.18187471
116	0.1816184768
117	0.181415757
118	0.1812003425
119	0.1811220822
120	0.1810059121
121	0.1808878048
122	0.1806243377
123	0.1804545402
124	0.1803612595
125	0.1803040669
126	0.1801336417
127	0.1800421101
128	0.1798203912
129	0.1796207063
130	0.17957965
131	0.1794395507
132	0.1793388192
133	0.1792601322
134	0.1791094011
135	0.1789636393
136	0.1789063428
137	0.1788555356
138	0.1787581551
139	0.1785704428
140	0.1785376703
141	0.1783881253
142	0.1783438365
143	0.1782667685
144	0.1781957545
