iter	Passed	Remaining
399	35552	53328
400	35633	53228
401	35717	53131
402	35798	53032
403	35882	52935
404	35963	52834
405	36052	52747
406	36138	52654
407	36219	52554
408	36301	52454
409	36386	52361
410	36469	52263
411	36556	52172
412	36642	52079
413	36723	51980
414	36804	51880
415	36884	51779
416	36968	51684
417	37056	51595
418	37137	51496
419	37220	51400
420	37300	51299
421	37384	51204
422	37472	51115
423	37562	51027
424	37646	50932
425	37729	50836
426	37808	50736
427	37888	50635
428	37970	50538
429	38054	50444
430	38142	50355
431	38234	50271
432	38319	50178
433	38405	50087
434	38492	49996
435	38581	49908
436	38670	49820
437	38759	49732
438	38847	49642
439	38937	49556
440	39022	49463
441	39110	49374
442	39201	49289
443	39289	49200
444	39374	49107
445	39463	49019
446	39554	48933
447	39643	48845
448	39729	48755
449	39818	48666
450	39905	48576
451	39989	48483
452	40074	48389
453	40162	48301
454	40245	48205
455	40329	48112
456	40415	48020
457	40502	47930
458	40590	47841
459	40677	47751
460	40760	47657
461	40847	47566
462	40932	47474
463	41017	47382
464	41102	47289
465	41188	47198
466	41272	47105
467	41360	47016
468	41442	46920
469	41530	46831
470	41613	46737
471	41702	46650
472	41792	46563
473	41875	46468
474	41955	46372
475	42043	46283
476	42126	46188
477	42209	46094
478	42293	46001
479	42380	45912
480	42471	45826
481	42570	45750
482	42658	45661
483	42742	45568
484	42824	45473
485	42911	45384
486	42993	45288
487	43079	45197
488	43162	45104
489	43246	45011
490	43328	44916
491	43412	44824
492	43494	44729
493	43580	44639
494	43663	44545
495	43748	44453
496	43831	44360
497	43911	44263
498	43996	44172
499	44079	44079
500	44162	43986
501	44245	43892
502	44329	43800
503	44407	43703
504	44492	43611
505	44579	43522
506	44663	43429
507	44744	43335
508	44827	43242
509	44912	43150
510	44995	43058
511	45083	42969
512	45169	42880
513	45249	42784
514	45332	42691
515	45414	42598
516	45496	42504
517	45584	42416
518	45666	42323
519	45753	42233
520	45835	42140
521	45916	42046
522	45999	41953
523	46082	41861
524	46167	41770
525	46252	41679
526	46332	41585
527	46414	41492
528	46496	41399
529	46583	41309
530	46666	41217
531	46755	41130
532	46835	41035
533	46918	40943
534	47003	40853
535	47087	40762
536	47171	40671
537	47253	40578
538	47335	40485
539	47416	40391
540	47496	40297
541	47582	40208
542	47666	40117
543	47746	40022
544	47832	39933
545	47913	39839
546	47993	39746
547	48076	39653
548	48160	39563
549	48243	39472
550	48326	39380
551	48410	39289
552	48494	39199
553	48583	39112
554	48674	39027
555	48759	38937
556	48841	38844
557	48925	38754
558	49004	38660
559	49086	38568
560	49171	38477
561	49254	38386
562	49337	38295
563	49422	38206
564	49503	38113
565	49590	38024
566	49671	37932
567	49757	37844
568	49839	37752
569	49924	37662
570	50008	37572
571	50090	37480
572	50174	37390
