iter	Passed	Remaining
422	2199	3000
423	2204	2994
424	2209	2989
425	2214	2984
426	2220	2979
427	2227	2976
428	2232	2971
429	2238	2967
430	2244	2963
431	2249	2957
432	2255	2953
433	2260	2947
434	2265	2942
435	2271	2937
436	2275	2931
437	2279	2925
438	2300	2939
439	2305	2934
440	2310	2928
441	2315	2923
442	2321	2918
443	2325	2912
444	2330	2906
445	2335	2901
446	2339	2894
447	2345	2889
448	2349	2883
449	2354	2878
450	2360	2873
451	2364	2867
452	2369	2860
453	2375	2857
454	2380	2851
455	2385	2846
456	2390	2840
457	2395	2834
458	2400	2828
459	2405	2823
460	2410	2818
461	2415	2812
462	2420	2807
463	2426	2802
464	2431	2797
465	2436	2791
466	2441	2786
467	2445	2780
468	2451	2775
469	2456	2770
470	2461	2764
471	2467	2760
472	2472	2754
473	2477	2749
474	2482	2743
475	2487	2738
476	2492	2732
477	2497	2727
478	2501	2721
479	2506	2715
480	2511	2710
481	2517	2705
482	2522	2700
483	2527	2694
484	2532	2689
485	2537	2683
486	2543	2679
487	2549	2674
488	2553	2668
489	2559	2663
490	2564	2658
491	2570	2653
492	2575	2649
493	2580	2643
494	2585	2637
495	2590	2632
496	2594	2626
497	2600	2620
498	2605	2615
499	2610	2610
500	2615	2605
501	2619	2599
502	2625	2594
503	2630	2588
504	2635	2583
505	2639	2577
506	2645	2572
507	2650	2566
508	2655	2561
509	2660	2555
510	2665	2551
511	2670	2545
512	2675	2540
513	2680	2534
514	2685	2529
515	2690	2523
516	2696	2518
517	2701	2513
518	2706	2508
519	2711	2502
520	2716	2497
521	2722	2492
522	2728	2488
523	2733	2483
524	2739	2478
525	2745	2474
526	2750	2468
527	2756	2463
528	2761	2458
529	2765	2452
530	2771	2448
531	2777	2443
532	2781	2437
533	2786	2431
534	2792	2426
535	2797	2421
536	2803	2417
537	2808	2411
538	2813	2406
539	2819	2401
540	2823	2395
541	2829	2390
542	2835	2386
543	2839	2380
544	2844	2374
545	2849	2369
546	2854	2364
547	2859	2358
548	2864	2352
549	2869	2347
550	2873	2341
551	2878	2336
552	2884	2331
553	2889	2325
554	2895	2321
555	2902	2317
556	2907	2312
557	2913	2307
558	2919	2303
559	2924	2298
560	2929	2292
561	2934	2287
562	2939	2281
563	2944	2276
564	2948	2270
565	2953	2264
566	2958	2259
567	2962	2253
568	2968	2248
569	2973	2243
570	2979	2238
571	2985	2233
572	2990	2228
573	2994	2222
574	3002	2218
575	3007	2213
576	3012	2208
577	3017	2203
578	3021	2197
579	3026	2191
580	3032	2186
581	3036	2181
582	3043	2176
583	3049	2172
584	3055	2167
585	3061	2162
586	3066	2157
587	3071	2152
588	3076	2146
589	3081	2141
590	3086	2135
591	3091	2130
592	3096	2124
593	3102	2120
594	3107	2114
595	3111	2109
596	3116	2103
597	3122	2098
598	3126	2093
599	3131	2087
600	3135	2081
601	3140	2076
602	3144	2070
603	3150	2065
604	3156	2060
605	3161	2055
606	3166	2050
607	3172	2045
608	3176	2039
609	3182	2034
610	3187	2029
611	3193	2024
612	3198	2019
613	3203	2014
614	3208	2008
615	3214	2003
616	3220	1998
617	3225	1993
618	3231	1989
619	3237	1984
620	3243	1979
621	3249	1974
622	3255	1969
623	3261	1965
624	3266	1959
625	3271	1954
626	3276	1949
627	3282	1944
628	3287	1939
629	3293	1934
630	3297	1928
631	3303	1923
632	3308	1918
633	3313	1912
634	3319	1908
635	3325	1903
636	3330	1897
637	3335	1892
638	3340	1886
639	3345	1881
640	3350	1876
641	3356	1871
642	3360	1865
643	3366	1860
644	3370	1855
645	3375	1849
646	3381	1844
647	3385	1838
648	3390	1833
649	3395	1828
650	3400	1823
651	3405	1817
652	3410	1812
653	3415	1807
654	3420	1801
655	3426	1796
656	3431	1791
657	3436	1786
658	3442	1781
659	3446	1775
660	3451	1770
661	3456	1764
662	3460	1759
663	3465	1753
664	3470	1748
665	3474	1742
666	3479	1737
667	3484	1731
668	3489	1726
669	3493	1720
670	3498	1715
671	3503	1710
672	3508	1704
673	3512	1699
674	3517	1693
675	3522	1688
676	3527	1683
677	3533	1677
678	3539	1673
679	3544	1668
680	3551	1663
681	3555	1657
682	3560	1652
683	3566	1647
684	3571	1642
685	3577	1637
686	3584	1632
687	3589	1627
688	3594	1622
689	3599	1616
690	3603	1611
691	3608	1606
692	3613	1600
693	3618	1595
694	3623	1590
695	3627	1584
696	3632	1579
697	3637	1573
698	3642	1568
699	3647	1563
700	3652	1557
701	3657	1552
702	3662	1547
703	3667	1542
704	3673	1536
705	3679	1532
706	3685	1527
707	3690	1522
708	3695	1516
709	3700	1511
710	3705	1506
711	3709	1500
712	3714	1495
713	3719	1489
714	3724	1484
715	3729	1479
716	3736	1474
717	3741	1469
718	3747	1464
719	3753	1459
720	3759	1454
721	3764	1449
722	3769	1444
723	3774	1438
724	3780	1433
725	3786	1428
726	3791	1423
727	3796	1418
728	3801	1413
729	3808	1408
730	3814	1403
731	3820	1398
732	3824	1393
733	3830	1388
734	3836	1383
735	3842	1378
736	3847	1372
737	3852	1367
738	3857	1362
739	3863	1357
740	3869	1352
741	3874	1347
742	3879	1342
743	3884	1336
744	3889	1331
745	3894	1326
746	3899	1320
747	3905	1315
748	3910	1310
749	3917	1305
750	3923	1300
751	3929	1295
752	3934	1290
753	3940	1285
754	3945	1280
755	3951	1275
756	3956	1270
757	3962	1265
758	3968	1260
759	3973	1254
760	3978	1249
761	3983	1244
762	3988	1238
763	3993	1233
764	3998	1228
765	4004	1223
766	4009	1217
767	4014	1212
768	4019	1207
769	4023	1201
770	4029	1196
771	4035	1191
772	4040	1186
773	4045	1181
774	4050	1176
775	4055	1170
776	4060	1165
777	4065	1160
778	4070	1154
779	4075	1149
780	4080	1144
781	4085	1138
782	4092	1134
783	4098	1129
784	4103	1123
785	4108	1118
786	4113	1113
787	4118	1108
788	4123	1102
789	4128	1097
790	4133	1092
791	4139	1087
792	4144	1081
793	4149	1076
794	4155	1071
795	4161	1066
796	4167	1061
797	4172	1056
798	4177	1050
799	4183	1045
800	4189	1040
801	4195	1035
802	4201	1030
803	4206	1025
804	4211	1020
805	4217	1015
806	4222	1009
807	4227	1004
808	4232	999
809	4237	994
810	4243	988
811	4248	983
812	4252	978
813	4257	972
814	4262	967
815	4266	962
816	4272	956
817	4278	951
818	4283	946
819	4289	941
820	4294	936
821	4299	930
822	4304	925
823	4310	920
824	4314	915
825	4320	910
826	4325	904
827	4331	899
828	4336	894
829	4341	889
830	4346	883
831	4353	879
832	4359	873
833	4363	868
834	4369	863
835	4374	858
836	4379	852
837	4385	847
838	4390	842
839	4395	837
840	4400	831
841	4405	826
842	4410	821
843	4415	816
844	4420	810
845	4425	805
846	4430	800
847	4435	795
848	4441	789
849	4446	784
850	4452	779
851	4457	774
852	4462	768
853	4466	763
854	4471	758
855	4476	753
856	4481	747
857	4487	742
858	4493	737
859	4498	732
860	4503	727
861	4509	721
862	4515	716
863	4519	711
864	4524	706
865	4528	700
866	4533	695
867	4539	690
868	4545	685
869	4551	680
870	4555	674
871	4561	669
872	4566	664
873	4571	659
874	4577	653
875	4582	648
876	4586	643
877	4592	638
878	4598	633
879	4603	627
880	4609	622
881	4615	617
882	4620	612
883	4625	606
884	4630	601
885	4634	596
886	4640	591
887	4645	585
888	4650	580
889	4655	575
890	4659	570
891	4665	564
892	4670	559
893	4675	554
894	4680	549
895	4686	543
896	4690	538
897	4696	533
898	4700	528
899	4705	522
900	4710	517
901	4716	512
902	4721	507
903	4726	501
904	4732	496
905	4737	491
906	4744	486
907	4749	481
908	4754	475
909	4759	470
910	4764	465
911	4768	460
912	4773	454
913	4778	449
914	4784	444
915	4790	439
916	4795	434
917	4801	428
918	4806	423
919	4811	418
920	4816	413
921	4822	407
922	4827	402
923	4833	397
924	4838	392
925	4843	387
926	4848	381
927	4854	376
928	4858	371
929	4864	366
930	4870	360
931	4876	355
932	4882	350
933	4888	345
934	4893	340
935	4898	334
936	4903	329
937	4909	324
938	4915	319
